全部数据明细：

年份     周次     南方ILI%     北方ILI%     南方检测       南方阳性       北方检测       北方阳性      
2024   W01   9.7        7.1        5863       3079       5707       2058      
2024   W02   8.7        6.3        5324       2582       5769       1934      
2024   W03   7.7        6.0        6041       2401       5580       1743      
2024   W04   7.0        5.2        5944       1937       5749       1605      
2024   W05   6.4        5.0        5745       1862       5658       1490      
2024   W06   7.9        5.7        4973       1576       5173       1151      
2024   W07   7.6        5.7        4383       1384       4333       884       
2024   W08   5.7        4.3        5467       1626       5399       853       
2024   W09   5.0        4.3        5559       1411       5468       688       
2024   W10   5.5        4.1        5454       1420       5515       652       
2024   W11   5.4        4.1        5651       1259       5474       622       
2024   W12   5.0        3.9        5432       1006       5656       550       
2024   W13   4.7        3.8        5968       1010       5626       442       
2024   W14   4.7        3.8        5177       688        4342       328       
2024   W15   4.3        3.6        5607       591        4222       236       
2024   W16   4.6        3.5        5351       519        4091       225       
2024   W17   4.7        3.6        5809       496        4238       207       
2024   W18   5.0        3.8        4474       400        3306       145       
2024   W19   4.9        3.6        5540       597        4080       150       
2024   W20   5.1        4.0        5513       563        4007       106       
2024   W21   4.8        3.9        5580       459        4033       111       
2024   W22   5.1        3.8        5605       563        3990       83        
2024   W23   4.9        3.9        5534       460        2548       44        
2024   W24   5.1        4.0        5754       467        2161       37        
2024   W25   5.2        3.9        5863       480        2149       25        
2024   W26   5.1        3.8        5788       566        2134       27        
2024   W27   5.1        3.8        6131       665        2062       26        
2024   W28   4.9        4.1        5704       568        1927       21        
2024   W29   4.7        3.8        5838       526        2031       19        
2024   W30   4.5        3.9        5960       498        2085       21        
2024   W31   4.2        3.8        5647       416        1492       16        
2024   W32   3.9        3.5        5670       362        1886       15        
2024   W33   3.6        3.6        5502       345        1688       14        
2024   W34   3.2        3.6        5559       267        1842       19        
2024   W35   3.1        3.4        5554       250        1637       9         
2024   W36   3.2        3.4        5639       238        1899       4         
2024   W37   3.5        3.4        5214       276        1846       15        
2024   W38   3.7        3.6        5370       273        1638       2         
2024   W39   3.7        3.2        6285       314        2173       14        
2024   W40   4.1        3.6        4450       211        3972       16        
2024   W41   3.3        3.2        7577       305        7042       39        
2024   W42   3.2        3.4        7630       263        7094       86        
2024   W43   3.3        3.3        7358       335        7370       67        
2024   W44   3.4        3.5        7781       377        7576       156       
2024   W45   3.6        3.6        7823       341        7561       149       
2024   W46   3.6        3.8        8181       443        7598       270       
2024   W47   3.4        4.1        8286       642        7822       392       
2024   W48   3.5        4.4        7953       723        8152       679       
2024   W49   3.6        4.6        8465       976        8075       1157      
